scorer,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000
bodyparts,Head,Head,Head,Nose,Nose,Nose,Coccyx,Coccyx,Coccyx,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
64,743.5197144,480.7102356,0.999986053,610.3612061,357.5687256,0.003358543,627.5838013,371.7610474,0.99999845,610.9685669,359.8424683,0.999998927
65,746.5769043,479.7869263,0.999978006,750.4660034,477.8927612,0.00333792,627.7888794,371.9668274,0.999998093,610.1242065,361.86203,0.999996662
66,749.4368286,478.9418335,0.999985039,750.0140991,477.2303162,0.005075037,628.4402466,371.8628845,0.999998808,608.2471924,362.1509705,0.999990463
67,749.9440308,478.7323608,0.999971747,749.9927368,477.1149597,0.005542517,627.9830322,372.7963257,0.999997973,606.5722656,364.4581909,0.999979794
68,750.3447876,478.7368469,0.999968052,749.8271484,476.9952393,0.005015641,628.2738647,373.6427002,0.999997377,606.6087646,365.0895386,0.999978542
69,751.0374146,478.2241211,0.999977052,749.9428101,476.8968506,0.004188001,627.0079956,373.2890015,0.999997795,606.861145,366.3427124,0.999981046
70,751.3163452,477.8448181,0.999982119,749.6746826,477.231842,0.003588438,627.4699097,373.1681824,0.999996662,608.4052124,365.5821228,0.999991417
71,751.4185791,477.7915039,0.999985993,749.6763306,477.4670105,0.0036906,627.482666,372.0055847,0.999995887,608.7202759,365.591217,0.999992073
72,751.4133301,477.7190552,0.999984384,749.3028564,477.333313,0.003389359,627.5507202,371.7701416,0.999996424,608.6836548,365.3381042,0.999992788
73,751.7289429,477.7289429,0.999983788,748.8845215,477.1524353,0.003360629,627.4331055,371.3250732,0.999995708,608.7579956,365.3352661,0.999993563
74,751.8223877,477.5658264,0.99998498,604.7142944,364.4563293,0.003485292,627.5767212,371.1534729,0.999996006,608.4902344,364.5471191,0.999995053
75,751.9528809,477.5770569,0.999984741,604.7315674,364.2043762,0.003186762,628.53125,370.8167725,0.999996364,608.6106567,364.2704163,0.999996066
76,752.1771851,477.5917969,0.999985337,604.5687866,364.0636292,0.00333339,629.2715454,371.4708862,0.999997079,608.7376099,363.9211426,0.999995708
77,752.2495728,477.6981506,0.999985814,604.2227783,364.0915222,0.003193766,629.6464844,370.7720032,0.999996781,608.1549072,364.0664368,0.99999404
78,752.1390381,477.8895569,0.999983728,603.5385132,364.302124,0.003502011,630.0783081,371.0135498,0.999996901,607.3608398,364.0071411,0.999988794
79,752.1078491,477.8263245,0.999982834,603.5657959,364.032196,0.003582031,630.071228,370.0746155,0.999996066,607.4000854,363.8246765,0.999989092
80,752.0509644,477.8265686,0.99998188,603.1494751,364.0843201,0.003430545,630.0189819,369.9052124,0.999996066,607.0047607,363.8295593,0.999986291
81,752.2166748,477.8147278,0.999982595,603.3074341,363.8717651,0.003446698,629.6358032,369.6107788,0.999996245,606.9961548,363.6390381,0.99998486
82,752.2288818,477.7575684,0.999982834,603.2338867,363.8370056,0.003491223,629.6863403,369.7108765,0.999996364,606.9188843,363.6676941,0.99998486
83,752.2310181,477.7361145,0.999983072,603.0483398,363.8382874,0.003326595,629.5581055,369.5281067,0.999996483,606.7301636,363.6886902,0.999981701
84,752.2269897,477.7313538,0.999982417,603.0205688,363.7044067,0.00335145,629.1664429,369.2438354,0.999996781,606.7059326,363.7616577,0.999981999
85,752.0372314,477.9360352,0.999980211,748.5229492,477.2515564,0.003441066,629.9769287,369.313446,0.999996662,606.7678833,363.8344421,0.999980271
86,752.005127,478.0071411,0.999980688,602.8282471,364.0216064,0.003481567,630.1154785,369.1733398,0.999996185,606.7300415,363.8043518,0.99998033
87,751.9824219,478.0398865,0.999979854,748.5783691,477.1950989,0.003491938,630.2020874,369.5984192,0.999996364,606.809082,363.9660034,0.999985337
88,751.9578857,478.0357971,0.999980092,748.5889893,477.1941528,0.003480673,630.3173218,369.4449158,0.999995828,606.828186,363.920166,0.999985695
89,751.9199219,478.0590515,0.999979973,603.8598633,363.8444519,0.003774732,629.8413696,369.8750916,0.99999553,607.8361206,363.8617859,0.999994755
90,751.923584,478.0599365,0.999980092,603.9058228,363.7425232,0.003436148,629.6322632,369.813324,0.999995708,607.8615723,363.7876892,0.999994397
91,751.9422607,478.0680237,0.999980211,603.9221802,363.7210693,0.003443122,629.6241455,369.7468872,0.99999541,607.8463745,363.7986755,0.999994397
92,751.9730835,478.0606995,0.999980688,603.8031006,364.0812683,0.003444016,629.8735352,369.7878723,0.999995232,607.8028564,364.0891113,0.999993742
93,751.9543457,478.1371765,0.999979734,748.6609497,477.0235596,0.003415406,630.3585815,369.8407593,0.999993086,608.6246948,364.0852051,0.999996066
94,751.9389038,478.130127,0.999979556,748.6630859,477.0534058,0.003443956,630.3091431,369.7414551,0.999992847,608.7004395,364.0554199,0.999996185
95,751.8860474,478.1603088,0.999978721,748.6662598,477.0817871,0.003481358,630.413269,369.8330688,0.999993742,608.6553955,363.9433594,0.999996006
96,751.9025269,478.1624756,0.999979019,604.3648682,363.7865295,0.003491014,630.494812,369.3300171,0.999992967,608.4927979,363.9638062,0.99999547
97,751.7594604,478.2532043,0.999978185,748.7015991,477.0957947,0.003488749,630.859375,369.6951904,0.999993086,608.5361938,363.8219604,0.999995828
98,751.7261963,478.2705078,0.999978662,604.0899658,364.2184753,0.003544122,630.9406128,369.3795776,0.999993086,608.1727905,364.114502,0.999993682
99,751.640686,478.2918701,0.999978781,748.696228,477.1169434,0.003457099,631.5802612,369.2194214,0.999991596,608.2183838,363.5488586,0.999992251
100,751.5836792,478.291626,0.999979138,748.7144165,477.0650635,0.003362209,631.657959,369.100708,0.999990463,608.3933716,363.515686,0.999993324
101,751.7262573,478.255127,0.999980092,748.7203979,477.0705261,0.003413111,631.7507935,369.379303,0.999992251,608.6559448,363.42099,0.999991596
102,751.8085327,478.2815247,0.999980688,604.588501,364.0427246,0.003804505,632.1617432,369.6379089,0.999989152,608.9487915,363.3282166,0.999994099
103,751.7750244,478.3703918,0.999979973,748.7979126,477.1850281,0.00362125,632.1212769,369.3999023,0.999989033,608.9346924,363.3329773,0.999993682
104,751.8459473,478.3339539,0.999979854,748.7830811,477.1601868,0.003645331,632.1152954,369.1869202,0.999988914,609.0664673,363.3017578,0.99999404
105,751.8260498,478.4143066,0.999981284,604.8487549,364.1027527,0.003891468,632.699646,370.2802124,0.999988258,609.2780762,363.4419556,0.999995112
106,751.9033203,478.42276,0.99998045,604.6644287,364.6664124,0.003683031,632.7782593,370.3292847,0.999988675,609.0881348,363.9417725,0.999993324
107,751.8997192,478.4512024,0.999979734,748.7598877,477.0254822,0.003468722,632.7999878,370.4659729,0.99998951,609.4171753,363.835083,0.999993443
108,751.9646606,478.5411682,0.999980211,748.8082886,476.9545593,0.003464162,632.5662842,370.8209229,0.999989629,609.0172119,363.75177,0.999991775
109,751.8474121,478.5093384,0.999977827,748.7252197,476.9232178,0.003523946,631.2694092,369.9257202,0.99999249,609.6566772,364.006958,0.999994278
110,751.8135376,478.5220032,0.999977112,748.729248,476.9080811,0.003533274,631.012207,370.1400757,0.999994457,609.9758911,363.6223755,0.99999404
111,751.708374,478.5689087,0.999975085,748.7315674,476.796875,0.003552377,631.1295776,370.2937622,0.99999392,610.0681152,363.7779236,0.999994755
112,751.6655884,478.5459595,0.999973774,748.7642822,476.8405457,0.003538191,629.3709106,370.5931702,0.999993801,610.8773804,364.2704163,0.999996781
113,751.6976318,478.5812988,0.999974012,748.6959229,476.7918701,0.003678173,629.0281982,370.4166565,0.999994159,610.8084106,364.1060486,0.999997139
114,751.6932373,478.6098022,0.999974489,748.6866455,476.7411194,0.003652453,630.4890747,370.4415588,0.999994397,609.6351318,363.8888855,0.999996066
115,751.7084961,478.6138306,0.999975085,748.6821289,476.7350464,0.003636241,630.3416748,370.403656,0.999994218,609.6174927,363.9761963,0.999995947
116,751.6994019,478.5785217,0.99997592,748.6271362,476.703949,0.003558367,629.9221802,369.9833069,0.999994636,609.3825073,363.8856506,0.999995172
117,751.7355347,478.3845825,0.999976158,605.2831421,364.1819153,0.003565609,629.9674683,370.1184692,0.999994516,609.4281006,363.9116516,0.999995112
118,751.7230835,478.5137634,0.999974668,748.602356,476.6320801,0.003645986,629.6745605,370.0351257,0.999994993,609.3883667,364.1716614,0.999994874
119,751.7105713,478.4983826,0.999974191,748.6123047,476.5901794,0.003681988,629.6831665,369.9854126,0.999994636,609.7080078,364.0048523,0.999995708
120,751.7333984,478.4780273,0.999974012,748.6205444,476.5673218,0.003736556,629.3462524,369.619873,0.99999392,609.7319336,364.0134277,0.999995828
121,751.7433472,478.6200256,0.999974012,748.6338501,476.6842651,0.003746271,629.2440796,369.9076843,0.999993205,610.0133057,364.3818054,0.999996185
122,751.7689819,478.6000671,0.99997431,748.6102905,476.7369995,0.003757805,628.7705688,369.668457,0.999991417,610.3807373,364.5114746,0.999995589
123,751.7886353,478.5871887,0.999974847,748.6033325,476.7307434,0.003745794,628.7437744,369.6885681,0.999991179,610.3862305,364.5326538,0.999995649
124,751.7554321,478.6630859,0.999975562,610.2248535,362.522522,0.003694504,628.7212524,369.5701904,0.999991596,610.4663696,364.3849487,0.999995947
125,751.802002,478.7145081,0.999975085,748.6781616,476.7706604,0.003674179,629.0550537,369.8624878,0.99999404,610.1390381,364.4346924,0.999995589
126,751.7828979,478.650177,0.999973774,748.678833,476.714447,0.00374186,629.2421265,369.9258118,0.999994516,610.1066284,364.3837585,0.999995708
127,751.7785645,478.616333,0.999973893,748.6674805,476.6911621,0.003730088,629.3184814,369.9512634,0.999994516,610.1330566,364.3788757,0.999995947
128,751.7697754,478.6126099,0.999973178,748.6928101,476.689209,0.003688514,629.4350586,369.9002991,0.999994874,610.0166626,364.2772217,0.999995351
129,751.7479858,478.6849365,0.999971688,748.6914673,476.7237854,0.003744364,628.9366455,369.8313599,0.999994278,610.0172119,364.5681152,0.999995351
130,751.6662598,478.6781006,0.999969482,748.6999512,476.7557373,0.003799975,629.0234985,371.0770874,0.999995947,610.0393677,364.5328979,0.999996126
131,751.6759644,478.713501,0.999968827,748.6803589,476.807251,0.003815711,628.9940796,370.1279602,0.999995112,610.1669922,364.4847717,0.999995589
132,751.6372681,478.6707153,0.999968648,748.6531372,476.7800293,0.003788084,629.0106812,370.5152588,0.999994993,610.1717529,364.6689148,0.999996305
133,751.7010498,478.5944214,0.999970913,748.6362915,476.7416382,0.003793597,629.27948,370.4694214,0.999994516,610.1409302,364.7062073,0.999996543
134,751.7131958,478.5293579,0.999969244,748.6199951,476.6850586,0.00364098,629.3526001,370.3910522,0.999994516,610.2067261,364.6436462,0.999996305
135,751.6461792,478.5830078,0.999969065,748.6255493,476.690918,0.003666967,629.4420776,370.3616638,0.999994695,610.0880127,364.5735168,0.999996066
136,751.6296387,478.6705627,0.999969125,748.6723633,476.6233215,0.003739387,629.6286011,370.726593,0.999994636,610.0542603,364.856842,0.999995232
137,751.65979,478.7426147,0.999968231,748.6749268,476.7018738,0.00385657,629.0752563,370.848114,0.999994278,610.5379639,365.0630188,0.999994934
138,751.7178955,478.6974182,0.999969363,748.6210327,476.6903076,0.003792763,628.7596436,370.4562378,0.99999404,610.4586182,365.0323486,0.999995112
139,751.6959839,478.6759644,0.999967635,748.6026001,476.7167358,0.003812134,628.7453003,370.2485962,0.999993563,610.7191772,365.1050415,0.999994993
140,751.6697388,478.7581177,0.999965787,748.6011963,476.7785645,0.003864974,629.3619995,370.3449097,0.999994755,610.5147705,364.8045349,0.999993443
141,751.6033325,478.9764404,0.999961853,748.6560669,476.7007141,0.00420332,629.1188354,370.5479736,0.999993861,610.656311,364.9078064,0.99999547
142,751.6108398,478.8343201,0.999963462,748.5754395,476.7608948,0.004049748,627.1854248,370.1693726,0.999988377,610.8567505,364.8595276,0.999996662
143,751.6033936,478.8513184,0.999962866,748.6009521,476.7625427,0.004046738,627.105896,370.1343079,0.999986947,610.8448486,364.8838501,0.999996662
144,751.6496582,478.8171387,0.999960661,748.5834351,476.7861633,0.004218698,625.3591919,369.9166565,0.999972343,611.1675415,365.0145264,0.999996305
145,751.6146851,478.8274536,0.99996078,748.6231079,476.7911377,0.004105091,625.0524292,370.0842285,0.999964535,611.4083862,365.2549744,0.999996066
146,751.6373291,478.8254395,0.999961019,748.6087036,476.7842712,0.004148901,626.404541,369.8775635,0.999979496,611.2410889,364.9190979,0.999996483
147,751.6453247,478.7796631,0.999961734,748.6151123,476.8296814,0.004123598,626.3164673,369.8674011,0.999981821,611.1933594,364.9147644,0.999996424
148,751.6304321,478.7782288,0.999960482,748.602417,476.7897644,0.004182518,626.1068726,369.8572998,0.999971926,611.3291016,365.0620422,0.999996185
149,751.5950928,478.7013855,0.999965727,748.5151978,476.7161865,0.003858715,625.211853,369.4585571,0.999956787,611.507019,365.216156,0.999995708
150,751.5689087,478.839447,0.99996233,748.6069336,476.6728516,0.004129618,625.4570313,369.603241,0.999968469,611.2926025,365.1578674,0.999995708
151,751.5410156,478.8474731,0.999961078,748.574585,476.6595154,0.004105449,625.47229,369.670166,0.99996978,611.3914795,365.1663208,0.999995708
152,751.493042,478.7896423,0.999959707,748.5443115,476.6874084,0.004079252,625.4162598,369.5327759,0.999971747,611.2347412,364.9527283,0.999995708
153,751.574585,478.789093,0.99996376,748.6187134,476.7687378,0.004146397,625.4379883,369.4336548,0.999970436,611.2241821,364.7784119,0.999996066
154,751.4440918,478.8067627,0.999963164,748.6864014,476.8802185,0.004039735,624.0857544,369.2284241,0.999945462,611.0723877,365.0349426,0.999994993
155,751.4204102,478.7526245,0.999964297,748.7090454,476.9546509,0.004029334,624.1297607,369.2807007,0.999946952,611.125061,365.0188293,0.999995112
156,751.4232178,478.7614746,0.999965608,748.7018433,477.0127563,0.00398922,623.8618774,369.4884644,0.999932766,611.1610718,365.0669861,0.999995112
157,751.3693237,478.8079224,0.999965668,748.7199707,477.0140381,0.003992647,623.9185181,369.3652039,0.999930501,611.1646729,365.0867004,0.99999547
158,751.3915405,478.740509,0.999966145,748.6895752,477.0425415,0.003891498,623.6911621,369.0908508,0.999920368,611.3285522,365.1590881,0.999995172
159,751.425354,478.7536621,0.999967217,748.6852417,477.012085,0.003878981,623.4549561,368.9718323,0.999906063,611.4002686,365.1566162,0.999994993
160,751.4285889,478.7335815,0.999966383,748.5858765,476.9796753,0.003759146,623.361145,368.884552,0.999892592,611.3762817,365.1639709,0.999994695
161,751.4537354,478.7107849,0.999966264,748.5426636,477.0397339,0.003798932,623.9349976,369.1502991,0.999950409,610.9445801,364.9671631,0.999995708
162,751.4018555,478.6719666,0.999967575,748.5167847,477.0455017,0.003667057,624.5306396,369.6111755,0.999967694,610.7709351,365.0051575,0.999996066
163,751.421936,478.6721802,0.999967635,748.5114746,477.0583496,0.003655165,624.1120605,369.2559814,0.999943912,611.1738281,365.1385193,0.999995351
164,751.4273071,478.675415,0.999968469,748.526062,477.061676,0.003676355,624.6817627,369.8565674,0.999974251,610.8705444,364.9249268,0.999996185
165,751.4630737,478.6351624,0.999969363,748.4945679,477.1006165,0.003635794,624.7540894,369.6686401,0.999968767,610.9017334,364.9486084,0.999995828
166,751.5432739,478.4658203,0.99997133,748.3291016,477.1726685,0.003519654,625.5714111,370.1246948,0.999982715,610.7627563,364.8536072,0.999996364
167,751.5231323,478.4176941,0.999970555,748.2137451,477.2237244,0.003526747,625.4938965,370.17099,0.999982834,610.7841797,364.8792419,0.999996364
168,751.5013428,478.4120789,0.999969661,748.2124634,477.2724915,0.00353539,625.6073608,370.5621948,0.999977946,610.8264771,365.000885,0.999996305
169,751.5821533,478.4362793,0.999971688,748.2689819,477.2398376,0.003552288,627.1106567,370.6741333,0.999985933,610.9720459,364.926239,0.999996305
170,751.5772705,478.4328918,0.999970198,748.2641602,477.2419434,0.003561646,627.2789917,370.8468628,0.999986172,610.9239502,364.9699707,0.999996185
171,751.5582275,478.4602661,0.999970078,748.3468628,477.3813477,0.003580898,628.3166504,371.9959106,0.999992788,611.0159302,364.9610901,0.999997079
172,751.5577393,478.451355,0.999969423,748.380188,477.3779602,0.003533185,628.3021851,372.0102234,0.999992847,611.0073853,364.9599304,0.999997139
173,751.5473633,478.5231018,0.999969363,748.375061,477.3494263,0.003538162,628.2897949,372.0083923,0.999993086,610.757019,364.960144,0.999996901
